stage	token	serial_sha256	ring_sha256	exact
0	0	0d88b2ebf8afd4a79f90e8061d069eedfa5e826cabf12e23b0c8c12bc72f6c58	0d88b2ebf8afd4a79f90e8061d069eedfa5e826cabf12e23b0c8c12bc72f6c58	1
0	1	d7115ba9396d49e95d517fd74d70a5688c9bef13cc5c41bc0c9726ad92febe99	d7115ba9396d49e95d517fd74d70a5688c9bef13cc5c41bc0c9726ad92febe99	1
0	2	38afa8178d9ca02395952df178821da5f82519591a7c0a39b57c650ebec5ab5b	38afa8178d9ca02395952df178821da5f82519591a7c0a39b57c650ebec5ab5b	1
0	3	999a372d9fd0c6f33805e7d58c4d5253a664885855f3399989c0475e561130f8	999a372d9fd0c6f33805e7d58c4d5253a664885855f3399989c0475e561130f8	1
0	4	63491d043c46c14c90e84086b677a857656f0562b0af818e8d6ac24331339356	63491d043c46c14c90e84086b677a857656f0562b0af818e8d6ac24331339356	1
0	5	b1b4a3a6fc074631c153a709530549b98a17ac36207a12bc76567eaa419d6c1d	b1b4a3a6fc074631c153a709530549b98a17ac36207a12bc76567eaa419d6c1d	1
1	0	949a6b3fb09c8243883318468656dce52b2c8750debd31efd319117fcd72f4ef	949a6b3fb09c8243883318468656dce52b2c8750debd31efd319117fcd72f4ef	1
1	1	67f01fb3e575af658c9e2e08797108d4a75bbb8c98116ff25a2a92030a3aa40c	67f01fb3e575af658c9e2e08797108d4a75bbb8c98116ff25a2a92030a3aa40c	1
1	2	97ab4ba7ef4f39b0e1641774de4d0c6efc56dbed74e3b8b15987d3ccfae975c3	97ab4ba7ef4f39b0e1641774de4d0c6efc56dbed74e3b8b15987d3ccfae975c3	1
1	3	6510caa6f319c78e9c4f3a10211b3756a4141d429f534da86db84cab3c51da48	6510caa6f319c78e9c4f3a10211b3756a4141d429f534da86db84cab3c51da48	1
1	4	8e1b6c0c0e2d14e9b084125903eca3bb1ddebc0280dde1a6b2b65f6dbf37428b	8e1b6c0c0e2d14e9b084125903eca3bb1ddebc0280dde1a6b2b65f6dbf37428b	1
1	5	a739a82d29f4998acc6744f030d30e154b928fd95e44975ad6923d5f0266b957	a739a82d29f4998acc6744f030d30e154b928fd95e44975ad6923d5f0266b957	1
2	0	0205e58d9cf643520e56dcbe8bc09465978c41a16b1f1a1ca49f4c35ac971d98	0205e58d9cf643520e56dcbe8bc09465978c41a16b1f1a1ca49f4c35ac971d98	1
2	1	3bbb4f14e490427a806e3aa16477a4a921de00abcc34d699aed59d3281288519	3bbb4f14e490427a806e3aa16477a4a921de00abcc34d699aed59d3281288519	1
2	2	96f70d92424d15c60de0d6afea234d42f0ad2f429b94a77756bdcec7b3cfecb8	96f70d92424d15c60de0d6afea234d42f0ad2f429b94a77756bdcec7b3cfecb8	1
2	3	093d548424a145b9d9a8d11170ca7da9c98680bf362722081a264fe2ecdb1928	093d548424a145b9d9a8d11170ca7da9c98680bf362722081a264fe2ecdb1928	1
2	4	726fc98d18b0101717a4127f1f0bca10c6034aba2d65cab103b4a95004c7b697	726fc98d18b0101717a4127f1f0bca10c6034aba2d65cab103b4a95004c7b697	1
2	5	76f0802ebeab194c7783d3b889a636b95a654687c645d831864a49d3984d3108	76f0802ebeab194c7783d3b889a636b95a654687c645d831864a49d3984d3108	1
3	0	365ae10ff87d59e8230c2ef0c09b4af6687ee662872931f40dfcc74ced435cd3	365ae10ff87d59e8230c2ef0c09b4af6687ee662872931f40dfcc74ced435cd3	1
3	1	1456468973eb6c167185ba0294bf38fa2ec35ad1e74ddf65c9f7199aa762f60a	1456468973eb6c167185ba0294bf38fa2ec35ad1e74ddf65c9f7199aa762f60a	1
3	2	1f74f8708f45bb4dfb165e33ec04113a08441eaa108a592204b495e2c375bee9	1f74f8708f45bb4dfb165e33ec04113a08441eaa108a592204b495e2c375bee9	1
3	3	8df5ddbb16bdcdefb9ecd11fbd868b2e1ce72bc38588d4e24c4071734d4780d6	8df5ddbb16bdcdefb9ecd11fbd868b2e1ce72bc38588d4e24c4071734d4780d6	1
3	4	065152358585e3ff34977feda97abd315d4fa34ddd4de56dfdd94234517da6cb	065152358585e3ff34977feda97abd315d4fa34ddd4de56dfdd94234517da6cb	1
3	5	b95b1f7bbf8d6612af9c1535605fdfafc9dc5dbdac1db15dd50f7a17355eff7c	b95b1f7bbf8d6612af9c1535605fdfafc9dc5dbdac1db15dd50f7a17355eff7c	1
4	0	430547130309033218ae47d067809fdd248a8ae796eca4d810c7d29826462573	430547130309033218ae47d067809fdd248a8ae796eca4d810c7d29826462573	1
4	1	e0cc0d4c632000aeaa7a923fb71f4d7b21f6c182120620ec6a4a48de1915c933	e0cc0d4c632000aeaa7a923fb71f4d7b21f6c182120620ec6a4a48de1915c933	1
4	2	2a45778e6c82849b5b8d81e20dff324fe57355f8b9fb755d03fbc5a3767696fc	2a45778e6c82849b5b8d81e20dff324fe57355f8b9fb755d03fbc5a3767696fc	1
4	3	49e41d59c1ec7cd6d48e125934d3a209c54bf0d60b7d372e88374f3c1e347bd7	49e41d59c1ec7cd6d48e125934d3a209c54bf0d60b7d372e88374f3c1e347bd7	1
4	4	880603c4d424345fcf14e19b7bd7ca8c9e046d2821b90039e754bedb6d3175ae	880603c4d424345fcf14e19b7bd7ca8c9e046d2821b90039e754bedb6d3175ae	1
4	5	d7c730a2a09c540f3d69c713ed4bdf02ffe848ba97d30d27121cf47a4753a10a	d7c730a2a09c540f3d69c713ed4bdf02ffe848ba97d30d27121cf47a4753a10a	1
5	0	2eb0a677e25c04e9cb22a50fae328ed5f8732dd81de53311b60751ea5b9902e6	2eb0a677e25c04e9cb22a50fae328ed5f8732dd81de53311b60751ea5b9902e6	1
5	1	1d6c84b5915263961260aa6f6c65ba76c5e043e44904067c6cffba341a04ff64	1d6c84b5915263961260aa6f6c65ba76c5e043e44904067c6cffba341a04ff64	1
5	2	cc519cfa62990bed0c5de3ac4c89f8fce969460e97f137c435aad569f7a159aa	cc519cfa62990bed0c5de3ac4c89f8fce969460e97f137c435aad569f7a159aa	1
5	3	deea4745c1b1e1fe9434e89dd8845170fae94f436550f6923db80b66690da781	deea4745c1b1e1fe9434e89dd8845170fae94f436550f6923db80b66690da781	1
5	4	d5109a6386210e20a45b5218a28ba7890a089c1de8aa339cd17e0c163c56eed5	d5109a6386210e20a45b5218a28ba7890a089c1de8aa339cd17e0c163c56eed5	1
5	5	b61d0e9ca08f653ca6fc770eb2184becb5d3394ec979b92cc3ef3806866968a5	b61d0e9ca08f653ca6fc770eb2184becb5d3394ec979b92cc3ef3806866968a5	1
6	0	9cec71c550e8e2cfbcad659e9c38a5213ea579fada7d73739b4a4b285dca86f8	9cec71c550e8e2cfbcad659e9c38a5213ea579fada7d73739b4a4b285dca86f8	1
6	1	d0d8a826541661db884831ab6b2b1062fd80831cb9d41f691cfd2b205245f4fa	d0d8a826541661db884831ab6b2b1062fd80831cb9d41f691cfd2b205245f4fa	1
6	2	5c634e1fe99a2ec82c5c06756391c9ead0c05990fc9abad1d0b9728937afc03b	5c634e1fe99a2ec82c5c06756391c9ead0c05990fc9abad1d0b9728937afc03b	1
6	3	e330f7467ab4e83d27231148187dabf9f304fcb8b8f9a93e71f8e767d1b33859	e330f7467ab4e83d27231148187dabf9f304fcb8b8f9a93e71f8e767d1b33859	1
6	4	02ef490c04cbfb69bdc692e70b52b06291ac3e1b18a2b81bdcb16bef2361eb19	02ef490c04cbfb69bdc692e70b52b06291ac3e1b18a2b81bdcb16bef2361eb19	1
6	5	8843e5fb3fa1d0163871f3e0ba8331b1aa1493b4b30ef9c5145bf49e96e5542c	8843e5fb3fa1d0163871f3e0ba8331b1aa1493b4b30ef9c5145bf49e96e5542c	1
7	0	2160627ea241c9ec53160eb02587c3a81ba6edc1f148f6bb5f328154ecdff051	2160627ea241c9ec53160eb02587c3a81ba6edc1f148f6bb5f328154ecdff051	1
7	1	92fc8d56282b964137d57b953de834f7f9966dd92594f9627d27e5e5af5f9a49	92fc8d56282b964137d57b953de834f7f9966dd92594f9627d27e5e5af5f9a49	1
7	2	8367c3ea1ef237ce7397744f293e5643397237b464484fa24953fe283c39741c	8367c3ea1ef237ce7397744f293e5643397237b464484fa24953fe283c39741c	1
7	3	cff1df1814df3d88b22db354d51d778aa6e99bb8ca4b23e94700295668c7004d	cff1df1814df3d88b22db354d51d778aa6e99bb8ca4b23e94700295668c7004d	1
7	4	541d7e62cd5403b9995348cb0b28105aecba07c3b0ac7d6c5bbdf76a0d4fc612	541d7e62cd5403b9995348cb0b28105aecba07c3b0ac7d6c5bbdf76a0d4fc612	1
7	5	96d0256f242db40817f80ba74101968e4e4d6c16b306e6406bd3aef2f4b045b8	96d0256f242db40817f80ba74101968e4e4d6c16b306e6406bd3aef2f4b045b8	1
8	0	f106c3f6fb6dadc213faa35c7bfd4d88c4db09ac0e93e03f3005c389f3d33723	f106c3f6fb6dadc213faa35c7bfd4d88c4db09ac0e93e03f3005c389f3d33723	1
8	1	b4fc6790ef789ff6948878acbd6c1615ee6ab2112456703ebdb8fcd41b5962c3	b4fc6790ef789ff6948878acbd6c1615ee6ab2112456703ebdb8fcd41b5962c3	1
8	2	a6d8403c24cfbe01e83b165d53d9f6f55b5c68779c0935856fe83448f2d56add	a6d8403c24cfbe01e83b165d53d9f6f55b5c68779c0935856fe83448f2d56add	1
