first_layer	layer_count	final	token_count	total_us	maximum_us	graph_captures	graph_replays
0	6	0	5	89324.271	30746.139	0	0
6	6	0	5	162500.571	95380.766	0	0
12	6	0	5	96023.494	30025.025	0	0
18	6	0	5	96441.861	29961.051	0	0
24	6	0	5	94185.463	28254.369	0	0
30	6	0	5	97725.732	30007.014	0	0
36	6	0	5	97076.071	31255.977	0	0
42	6	0	5	95077.461	28564.031	0	0
48	6	0	5	94314.208	28250.084	0	0
54	6	0	5	96316.982	29366.117	0	0
60	6	0	5	96786.334	30044.600	0	0
66	6	0	5	96891.301	29940.168	0	0
72	6	1	5	110266.368	31887.656	0	0
0	6	0	5	84150.034	28233.660	1	5
